area,restaurant_count,avg_rating,rating_std,avg_cost,online_order_pct,total_ratings
"Byresandra,Tavarekere,Madiwala",798,3.5839598997493733,0.46240694640793806,488.0200501253133,0.6140350877192983,204951
Bannerghatta Road,552,3.430072463768116,0.4297485803227066,446.97463768115944,0.6612318840579711,70353
Brookefield,477,3.4454926624737947,0.47079141580316314,526.8343815513626,0.6729559748427673,77138
Brigade Road,464,3.6842672413793105,0.5078969276525892,835.9698275862069,0.4051724137931034,153342
Indiranagar,455,3.5923076923076924,0.5058317983288613,669.3406593406594,0.48131868131868133,151834
Electronic City,403,3.3635235732009927,0.40283138617379727,512.0347394540943,0.49627791563275436,34255
Malleshwaram,402,3.629601990049751,0.44765316641627095,577.6616915422885,0.5845771144278606,77879
Kalyan Nagar,384,3.49375,0.44158804331639245,483.28125,0.578125,42720
Bellandur,361,3.4759002770083103,0.4787725405484909,544.9584487534626,0.6925207756232687,88538
Banashankari,359,3.5688022284122565,0.4380332662497096,388.5487465181059,0.6295264623955432,60459
Whitefield,261,3.512260536398468,0.47304564051849923,700.5747126436781,0.40229885057471265,50527
Marathahalli,260,3.4076923076923076,0.45840337055223573,519.8076923076923,0.46153846153846156,42460
Hsr,241,3.390871369294606,0.482009323096418,459.37759336099583,0.46473029045643155,40669
Basavanagudi,214,3.514018691588785,0.4364708226121273,396.9626168224299,0.45794392523364486,24687
New Bel Road,168,3.4773809523809525,0.4007033309014223,442.85714285714283,0.44642857142857145,16487
Koramangala 4Th Block,162,3.5160493827160497,0.4872171681855762,566.604938271605,0.24691358024691357,45520
Rajajinagar,148,3.4486486486486485,0.3498272628136425,415.4054054054054,0.3716216216216216,9972
Lavelle Road,141,3.630496453900709,0.41763676329887905,860.6382978723404,0.24822695035460993,21918
Jayanagar,127,3.510236220472441,0.4367692801405459,497.6377952755906,0.4409448818897638,23367
Frazer Town,126,3.5174603174603174,0.4356290835248474,417.06349206349205,0.5158730158730159,10987
Sarjapur Road,108,3.4453703703703704,0.42785801192243283,474.537037037037,0.48148148148148145,17814
Old Airport Road,91,3.40989010989011,0.47000116904226846,612.6373626373627,0.37362637362637363,22182
Church Street,77,3.606493506493506,0.44642959671789306,745.4545454545455,0.24675324675324675,12140
Koramangala 6Th Block,71,3.5253521126760563,0.2539506756715648,397.1830985915493,0.2535211267605634,5557
Jp Nagar,69,3.3768115942028984,0.43896433177364186,441.30434782608694,0.4057971014492754,9157
Kammanahalli,65,3.4953846153846153,0.3726722626982257,504.61538461538464,0.47692307692307695,6081
Koramangala 7Th Block,36,3.5305555555555554,0.4234682949470915,453.6111111111111,0.4722222222222222,6556
Koramangala 5Th Block,35,3.5285714285714285,0.4328913928264147,368.57142857142856,0.7142857142857143,2949
Mg Road,32,3.540625,0.5161016247763364,568.75,0.59375,9979
Residency Road,18,3.511111111111111,0.45875648915287215,486.1111111111111,0.3888888888888889,1806
